player1,player2,winner,total_moves,player1_avg_time,player2_avg_time,timestamp,game_length_category
AlphaBeta,DQN,player1,9,0.5467687606811523,0.0011631846427917,2025-12-15T17:58:09.312958,Short
DQN,AlphaBeta,player2,12,0.0014739831288655,0.9827102422714232,2025-12-15T17:58:15.218063,Short
AlphaBeta,DQN,player1,9,0.536756944656372,0.0009213685989379,2025-12-15T17:58:17.907165,Short
DQN,AlphaBeta,player2,12,0.0011525948842366,0.9785053332646688,2025-12-15T17:58:23.785112,Short
AlphaBeta,DQN,player1,9,0.536094331741333,0.0010426044464111,2025-12-15T17:58:26.470789,Short
DQN,AlphaBeta,player2,12,0.0006970564524332,0.9902846415837606,2025-12-15T17:58:32.420434,Short
AlphaBeta,DQN,player1,9,0.5364128112792969,0.0016044378280639,2025-12-15T17:58:35.108916,Short
DQN,AlphaBeta,player2,12,0.0008785724639892,0.9887688557306924,2025-12-15T17:58:41.047375,Short
AlphaBeta,DQN,player1,9,0.5417610168457031,0.0014604330062866,2025-12-15T17:58:43.762609,Short
DQN,AlphaBeta,player2,12,0.0009858210881551,0.983954668045044,2025-12-15T17:58:49.673925,Short
AlphaBeta,DQN,player1,9,0.5404539108276367,0.0011442303657531,2025-12-15T17:58:52.381857,Short
DQN,AlphaBeta,player2,12,0.0012515783309936,0.993666132291158,2025-12-15T17:58:58.352902,Short
AlphaBeta,DQN,player1,9,0.5454086303710938,0.0013264417648315,2025-12-15T17:59:01.086265,Short
DQN,AlphaBeta,player2,12,0.0009455283482869,0.9929222663243612,2025-12-15T17:59:07.049472,Short
AlphaBeta,DQN,player1,9,0.53968505859375,0.0014863014221191,2025-12-15T17:59:09.754864,Short
DQN,AlphaBeta,player2,12,0.0011436939239501,0.9930715958277384,2025-12-15T17:59:15.720701,Short
AlphaBeta,DQN,player1,9,0.5535430908203125,0.0010833740234375,2025-12-15T17:59:18.493338,Short
DQN,AlphaBeta,player2,12,0.0016963879267374,1.0061072905858357,2025-12-15T17:59:24.540160,Short
AlphaBeta,DQN,player1,9,0.5475976467132568,0.0015676617622375,2025-12-15T17:59:27.284419,Short
DQN,AlphaBeta,player2,12,0.0015351772308349,0.9950556755065918,2025-12-15T17:59:33.263964,Short
AlphaBeta,DQN,player1,9,0.5449727535247803,0.0015726685523986,2025-12-15T17:59:35.995785,Short
DQN,AlphaBeta,player2,12,0.0014732678731282,1.000581940015157,2025-12-15T17:59:42.009663,Short
AlphaBeta,DQN,player1,9,0.5461317539215088,0.001677393913269,2025-12-15T17:59:44.747698,Short
DQN,AlphaBeta,player2,12,0.0011425018310546,1.009064793586731,2025-12-15T17:59:50.810013,Short
AlphaBeta,DQN,player1,9,0.5339595317840576,0.001726746559143,2025-12-15T17:59:53.486717,Short
DQN,AlphaBeta,player2,12,0.001292069753011,0.9812632004419962,2025-12-15T17:59:59.382049,Short
AlphaBeta,DQN,player1,9,0.538241195678711,0.0016736984252929,2025-12-15T18:00:02.081018,Short
DQN,AlphaBeta,player2,12,0.001593271891276,0.9847653309504192,2025-12-15T18:00:07.999716,Short
AlphaBeta,DQN,player1,9,0.5384512901306152,0.0016790032386779,2025-12-15T18:00:10.698689,Short
DQN,AlphaBeta,player2,12,0.0015451908111572,0.9897672335306804,2025-12-15T18:00:16.646563,Short
AlphaBeta,DQN,player1,9,0.544596815109253,0.0010488629341125,2025-12-15T18:00:19.374762,Short
DQN,AlphaBeta,player2,12,0.0015689531962076,0.9878175258636476,2025-12-15T18:00:25.311081,Short
AlphaBeta,DQN,player1,9,0.5353199005126953,0.0015398263931274,2025-12-15T18:00:27.994893,Short
DQN,AlphaBeta,player2,12,0.0013450781504313,0.9807048638661704,2025-12-15T18:00:33.889749,Short
DQN,Greedy,player2,12,0.0009502569834391,9.45727030436198e-05,2025-12-15T18:00:33.897028,Short
Greedy,DQN,player1,11,0.0001683632532755,0.0008190155029296,2025-12-15T18:00:33.902697,Short
DQN,Greedy,player2,12,0.0005867878595987,0.0001667737960815,2025-12-15T18:00:33.907745,Short
Greedy,DQN,player1,11,0.0001684029897054,0.0004124164581298,2025-12-15T18:00:33.913618,Short
DQN,Greedy,player2,12,0.0006866455078125,0.0001595815022786,2025-12-15T18:00:33.918695,Short
Greedy,DQN,player1,11,0.000281016031901,0.0004311561584472,2025-12-15T18:00:33.923573,Short
DQN,Greedy,player2,12,0.000771681467692,0.0,2025-12-15T18:00:33.929349,Short
Greedy,DQN,player1,11,0.0,0.0011899948120117,2025-12-15T18:00:33.935299,Short
DQN,Greedy,player2,12,0.0006932020187377,8.789698282877605e-05,2025-12-15T18:00:33.942018,Short
Greedy,DQN,player1,11,0.0001666943232218,0.0008220672607421,2025-12-15T18:00:33.947662,Short
DQN,Greedy,player2,12,0.0007218519846598,0.0,2025-12-15T18:00:33.953517,Short
Greedy,DQN,player1,11,0.0001759529113769,0.0008166313171386,2025-12-15T18:00:33.959693,Short
DQN,Greedy,player2,12,0.0006666978200276,0.0,2025-12-15T18:00:33.966158,Short
Greedy,DQN,player1,11,0.0001684824625651,0.0004359245300292,2025-12-15T18:00:33.970862,Short
DQN,Greedy,player2,12,0.0007280508677164,0.0002581278483072,2025-12-15T18:00:33.977793,Short
Greedy,DQN,player1,11,0.0005909204483032,0.0003229618072509,2025-12-15T18:00:33.982954,Short
DQN,Greedy,player2,12,0.0007723569869995,0.0,2025-12-15T18:00:33.988097,Short
Greedy,DQN,player1,11,0.0001678069432576,0.0004084587097167,2025-12-15T18:00:33.993231,Short
DQN,Greedy,player2,12,0.0002987384796142,0.0004208485285441,2025-12-15T18:00:33.999077,Short
Greedy,DQN,player1,11,0.0,0.0008300304412841,2025-12-15T18:00:34.003227,Short
DQN,Greedy,player2,12,0.0007643302281697,0.0002537171045939,2025-12-15T18:00:34.009336,Short
Greedy,DQN,player1,11,0.0001686016718546,0.0006218433380126,2025-12-15T18:00:34.014104,Short
DQN,Greedy,player2,12,0.0005197127660115,0.0001679261525472,2025-12-15T18:00:34.020902,Short
Greedy,DQN,player1,11,0.0004208485285441,0.0002998828887939,2025-12-15T18:00:34.025975,Short
DQN,Greedy,player2,12,0.0007946888605753,0.0,2025-12-15T18:00:34.031744,Short
Greedy,DQN,player1,11,0.0,0.0007093429565429,2025-12-15T18:00:34.036326,Short
DQN,Greedy,player2,12,0.0004229148228963,0.0005048513412475,2025-12-15T18:00:34.042901,Short
Greedy,DQN,player1,11,0.0,0.0007077693939208,2025-12-15T18:00:34.048959,Short
DQN,Greedy,player2,12,0.0009318987528483,8.606910705566406e-05,2025-12-15T18:00:34.055067,Short
Greedy,DQN,player1,11,0.0002623796463012,0.0009288311004638,2025-12-15T18:00:34.061285,Short
DQN,Greedy,player2,12,0.0009360313415527,0.0,2025-12-15T18:00:34.066901,Short
Greedy,DQN,player1,11,0.0001107056935628,0.0008574962615966,2025-12-15T18:00:34.071853,Short
DQN,Greedy,player2,12,0.0007611115773518,0.0001667737960815,2025-12-15T18:00:34.078420,Short
Greedy,DQN,player1,11,0.0,0.000599718093872,2025-12-15T18:00:34.082954,Short
Greedy,MCTS-500,player1,9,0.0,0.9411685466766356,2025-12-15T18:00:37.849201,Short
MCTS-500,Greedy,player2,10,1.0391611576080322,0.0,2025-12-15T18:00:43.046143,Short
Greedy,MCTS-500,player1,9,0.0,1.0039293766021729,2025-12-15T18:00:47.064554,Short
MCTS-500,Greedy,player2,10,0.9062869071960448,0.0,2025-12-15T18:00:51.599647,Short
Greedy,MCTS-500,player1,11,0.0,0.7756031513214111,2025-12-15T18:00:55.477663,Short
MCTS-500,Greedy,player2,16,0.8900451362133026,0.0001300871372222,2025-12-15T18:01:02.602475,Short
Greedy,MCTS-500,player1,9,0.0002962112426757,0.9646376967430116,2025-12-15T18:01:06.463574,Short
MCTS-500,Greedy,player2,10,0.7025707721710205,0.0003254890441894,2025-12-15T18:01:09.979650,Short
Greedy,MCTS-500,player1,9,0.0003218650817871,0.9593961238861084,2025-12-15T18:01:13.820402,Short
MCTS-500,Greedy,player2,10,0.8828710079193115,0.0,2025-12-15T18:01:18.234757,Short
Greedy,MCTS-500,player1,9,0.0003302574157714,0.992145836353302,2025-12-15T18:01:22.206661,Short
MCTS-500,Greedy,player2,10,0.9297611236572264,0.0002107143402099,2025-12-15T18:01:26.857035,Short
Greedy,MCTS-500,player1,9,0.0,1.0838521122932434,2025-12-15T18:01:31.194579,Short
MCTS-500,Greedy,player2,14,0.853318452835083,0.0001635210854666,2025-12-15T18:01:37.171107,Short
Greedy,MCTS-500,player1,9,0.0003145694732666,1.265808403491974,2025-12-15T18:01:42.236965,Short
MCTS-500,Greedy,player2,10,0.7979306697845459,0.000102424621582,2025-12-15T18:01:46.227131,Short
Greedy,MCTS-500,player1,9,0.0007092952728271,0.9534487128257751,2025-12-15T18:01:50.045475,Short
MCTS-500,Greedy,player2,10,0.8513938903808593,0.0005092144012451,2025-12-15T18:01:54.306063,Short
Greedy,MCTS-500,player1,9,0.0004181385040283,0.9872509241104126,2025-12-15T18:01:58.257697,Short
MCTS-500,Greedy,player2,12,0.8711448907852173,0.0006024440129597,2025-12-15T18:02:03.488181,Short
Greedy,MCTS-500,player1,11,0.0001666545867919,1.023639726638794,2025-12-15T18:02:08.607380,Short
MCTS-500,Greedy,player2,10,0.8274582386016845,0.0002026081085205,2025-12-15T18:02:12.747761,Short
Greedy,MCTS-500,player1,13,0.0002284731183733,0.9607423941294352,2025-12-15T18:02:18.513815,Short
MCTS-500,Greedy,player2,10,0.7084147453308105,0.0002144813537597,2025-12-15T18:02:22.058972,Short
Greedy,MCTS-500,player1,11,0.0005261898040771,1.0396859645843506,2025-12-15T18:02:27.261143,Short
MCTS-500,Greedy,player2,14,0.8384344237191337,0.0002963542938232,2025-12-15T18:02:33.133267,Short
Greedy,MCTS-500,player1,9,0.0,1.047647476196289,2025-12-15T18:02:37.323857,Short
MCTS-500,Greedy,player2,10,0.9485759258270264,0.0003188610076904,2025-12-15T18:02:42.068890,Short
Greedy,MCTS-500,player1,9,0.000533390045166,1.044924795627594,2025-12-15T18:02:46.251256,Short
MCTS-500,Greedy,player2,12,1.1086702346801758,0.0001573165257771,2025-12-15T18:02:52.904756,Short
Greedy,MCTS-500,player1,9,0.0,0.982750654220581,2025-12-15T18:02:56.837336,Short
MCTS-500,Greedy,player2,10,0.9415074348449708,0.0002138614654541,2025-12-15T18:03:01.547004,Short
Greedy,MCTS-500,player1,9,0.000519323348999,1.186849057674408,2025-12-15T18:03:06.296996,Short
MCTS-500,Greedy,player2,12,0.7929240862528483,0.0004385312398274,2025-12-15T18:03:11.057172,Short
AlphaBeta,Greedy,player1,57,1.82882049165923,0.0003583175795418,2025-12-15T17:58:59.631946,Medium
Greedy,AlphaBeta,player2,46,0.0002953384233557,1.120483636856079,2025-12-15T17:59:25.412553,Short
AlphaBeta,Greedy,player1,57,1.844667122281831,0.0003280469349452,2025-12-15T18:00:18.919256,Medium
Greedy,AlphaBeta,player2,46,0.0001598337422246,1.1222010799076243,2025-12-15T18:00:44.734596,Short
AlphaBeta,Greedy,player1,57,1.8499495160990749,0.000267037323543,2025-12-15T18:01:38.393337,Medium
Greedy,AlphaBeta,player2,46,0.0003687298816183,1.127776581308116,2025-12-15T18:02:04.342199,Short
AlphaBeta,Greedy,player1,57,1.8631258750783983,0.0003893460546221,2025-12-15T18:02:58.387391,Medium
Greedy,AlphaBeta,player2,46,0.0002523919810419,1.1251466377921726,2025-12-15T18:03:24.274164,Short
AlphaBeta,Greedy,player1,57,1.8398162578714303,0.0003183654376438,2025-12-15T18:04:17.639425,Medium
Greedy,AlphaBeta,player2,46,0.0002334947171418,1.0938626994257388,2025-12-15T18:04:42.808437,Short
AlphaBeta,Greedy,player1,57,1.8082012719121472,0.0002532175609043,2025-12-15T18:05:35.259161,Medium
Greedy,AlphaBeta,player2,46,0.0002988006757653,1.0959610213404116,2025-12-15T18:06:00.474646,Short
AlphaBeta,Greedy,player1,57,1.8252580001436431,0.0002650107656206,2025-12-15T18:06:53.416163,Medium
Greedy,AlphaBeta,player2,46,0.0002360965894616,1.0860096475352412,2025-12-15T18:07:18.400388,Short
AlphaBeta,Greedy,player1,57,1.8036969859024572,0.000242497239794,2025-12-15T18:08:10.716067,Medium
Greedy,AlphaBeta,player2,46,0.0002337331357209,1.09647972687431,2025-12-15T18:08:35.943653,Short
AlphaBeta,Greedy,player1,57,1.808939152750476,0.0005021010126386,2025-12-15T18:09:28.419306,Medium
Greedy,AlphaBeta,player2,46,0.0003138003141983,1.0890083105667778,2025-12-15T18:09:53.476372,Short
AlphaBeta,Greedy,player1,57,1.8077586519307105,0.0003724268504551,2025-12-15T18:10:45.916482,Medium
Greedy,AlphaBeta,player2,46,0.0002677855284317,1.0914158613785454,2025-12-15T18:11:11.026240,Short
AlphaBeta,Greedy,player1,57,1.8003396576848525,0.0003036175455365,2025-12-15T18:12:03.245911,Medium
Greedy,AlphaBeta,player2,46,0.0004155843154243,1.085664116817972,2025-12-15T18:12:28.228994,Short
AlphaBeta,Greedy,player1,57,1.7958766509746682,0.0003026042665754,2025-12-15T18:13:20.320906,Medium
Greedy,AlphaBeta,player2,46,0.0001863293025804,1.097892419151638,2025-12-15T18:13:45.578287,Short
AlphaBeta,Greedy,player1,57,1.7747597201117151,0.0003183398927961,2025-12-15T18:14:37.057271,Medium
Greedy,AlphaBeta,player2,46,0.000328312749448,1.0679266038148298,2025-12-15T18:15:01.630381,Short
AlphaBeta,Greedy,player1,61,1.741918917625181,0.0002837578455607,2025-12-15T18:15:55.639542,Medium
Greedy,AlphaBeta,player2,46,0.0003315158512281,1.031186819076538,2025-12-15T18:16:19.368138,Short
AlphaBeta,Greedy,player1,65,2.262073531295314,0.0005193203687667,2025-12-15T18:17:34.036473,Medium
Greedy,AlphaBeta,player2,46,0.0003171796384065,1.1623633840809695,2025-12-15T18:18:00.782314,Short
AlphaBeta,Greedy,player1,97,1.9101986739100243,0.0002937714258829,2025-12-15T18:19:34.401325,Medium
Greedy,AlphaBeta,player2,46,0.0002961988034455,1.021961896315865,2025-12-15T18:19:57.914839,Short
AlphaBeta,Greedy,player1,53,1.5755259637479428,0.0003426716877863,2025-12-15T18:20:40.465584,Medium
Greedy,AlphaBeta,player2,46,0.0002965097842009,1.0073350616123364,2025-12-15T18:21:03.642149,Short
DQN,Hybrid,player2,12,0.001901110013326,0.2779059410095215,2025-12-15T18:21:05.322019,Short
Hybrid,DQN,player1,13,0.2718755858285086,0.0014336506525675,2025-12-15T18:21:07.233750,Short
DQN,Hybrid,player2,12,0.0012986262639363,0.2795162995656331,2025-12-15T18:21:08.919684,Short
Hybrid,DQN,player1,15,0.3813682198524475,0.0014569759368896,2025-12-15T18:21:11.982365,Short
DQN,Hybrid,player2,12,0.0012987852096557,0.2693986495335896,2025-12-15T18:21:13.608102,Short
Hybrid,DQN,player1,11,0.2595782279968261,0.0013726234436035,2025-12-15T18:21:15.174892,Short
DQN,Hybrid,player2,12,0.0010086297988891,0.2784912586212158,2025-12-15T18:21:16.851891,Short
Hybrid,DQN,player1,17,0.4068941540188259,0.001358151435852,2025-12-15T18:21:20.524804,Short
DQN,Hybrid,player2,12,0.001501441001892,0.2822928826014201,2025-12-15T18:21:22.229105,Short
Hybrid,DQN,player1,15,0.2655015289783478,0.0014144352504185,2025-12-15T18:21:24.363018,Short
DQN,Hybrid,player2,18,0.0014104578230116,0.2645366191864013,2025-12-15T18:21:26.756542,Short
Hybrid,DQN,player1,19,0.3332884550094604,0.0009888013203938,2025-12-15T18:21:30.099831,Short
DQN,Hybrid,player2,12,0.0013025601704915,0.278979738553365,2025-12-15T18:21:31.781525,Short
Hybrid,DQN,player1,13,0.2420493875231061,0.0014028946558634,2025-12-15T18:21:33.487358,Short
DQN,Hybrid,player2,12,0.0014672676722208,0.2700495719909668,2025-12-15T18:21:35.116459,Short
Hybrid,DQN,player1,15,0.2893832623958587,0.0018759114401681,2025-12-15T18:21:37.444657,Short
DQN,Hybrid,player2,14,0.0011828286307198,0.345761946269444,2025-12-15T18:21:39.873270,Short
Hybrid,DQN,player1,13,0.2750698838915144,0.0015362898508707,2025-12-15T18:21:41.811547,Short
DQN,Hybrid,player2,12,0.0015003681182861,0.3032944202423095,2025-12-15T18:21:43.641368,Short
Hybrid,DQN,player1,13,0.2899731227329799,0.0013542970021565,2025-12-15T18:21:45.681245,Short
DQN,Hybrid,player2,12,0.001480221748352,0.277067224184672,2025-12-15T18:21:47.353589,Short
Hybrid,DQN,player1,19,0.3156118631362915,0.0014885001712375,2025-12-15T18:21:50.524664,Short
DQN,Hybrid,player2,16,0.0013719499111175,0.2713477611541748,2025-12-15T18:21:52.706422,Short
Hybrid,DQN,player1,17,0.3016811476813422,0.0015350878238677,2025-12-15T18:21:55.434383,Short
DQN,Hybrid,player2,20,0.0017324686050415,0.2558919668197632,2025-12-15T18:21:58.011175,Short
Hybrid,DQN,player1,13,0.337099484034947,0.001391847928365,2025-12-15T18:22:00.379223,Short
DQN,Hybrid,player2,12,0.0018282731374104,0.2868448098500569,2025-12-15T18:22:02.112814,Short
Hybrid,DQN,player1,13,0.3152423926762172,0.0014354387919108,2025-12-15T18:22:04.329705,Short
DQN,Hybrid,player2,18,0.0013788011338975,0.2679925229814317,2025-12-15T18:22:06.755630,Short
Hybrid,DQN,player1,15,0.2738198339939117,0.0019271033150809,2025-12-15T18:22:08.960301,Short
DQN,Hybrid,player2,12,0.0015133221944173,0.2790300846099853,2025-12-15T18:22:10.643562,Short
Hybrid,DQN,player1,13,0.274512665612357,0.0011295477549235,2025-12-15T18:22:12.574533,Short
DQN,Hybrid,player2,20,0.0012835979461669,0.2979091644287109,2025-12-15T18:22:15.566461,Short
Hybrid,DQN,player1,13,0.2950480324881417,0.0014607111612955,2025-12-15T18:22:17.642675,Short
Greedy,Minimax,player2,46,0.0004511294157608,1.0141571708347483,2025-12-15T18:22:40.980236,Short
Minimax,Greedy,player1,17,0.9600086741977268,0.0003816783428192,2025-12-15T18:22:49.624648,Short
Greedy,Minimax,player2,46,0.0003886637480362,1.0143637346184773,2025-12-15T18:23:12.966536,Short
